municipio,actividad_principal,codigo_ciiu,cargo_del_solicitante,clasificación_de_la_empresa,sector_económico
medellin,actividades de servicios de apoyo a las empresas n.c.p.,n.82.829.,coordinador administrativo,pequeña,administra
la estrella,construcción de otras obras de ingeniería civil.,f.42.429.,licitaciones y presupuestos,mediana,construccion
medellin,otras actividades de tecnologías de información y actividades de servicios informáticos.,j.62.620.6209,coordinadora recurso humano,pequeña,consultorí
medellin,establecimientos que combinan diferentes niveles de educación.,p.85.853.,personal,pequeña,"comercio, hoteles y restaurantes"
itagui,fabricación de otros productos químicos.,c.20.202.,personal,pequeña,"comercio, hoteles y restaurantes"
envigado,comercio al por menor de otros productos en establecimientos especializados.,g.47.477.,personal,pequeña,"comercio, hoteles y restaurantes"
envigado,actividades de arquitectura e ingeniería y otras actividades conexas de consultoría técnica.,m.71.711.,personal,pequeña,construccion
medellin,fabricación de productos metalúrgicos básicos.,c.24.,personal,pequeña,explotación minas/canteras
medellin,"seguros (incluso el reaseguro), seguros sociales y fondos de pensiones, excepto la seguridad social.",k.65.,directora de operaciones,pequeña,intermediación financiera
medellin,fabricación de productos textiles.,c.13.,lider de cartera,pequeña,industria manufacturera
medellin,"fabricación de productos metálicos para uso estructural, tanques, depósitos y generadores de vapor.",c.25.251.,representante legal,pequeña,construccion
medellin,fundición de metales.,c.24.243.,recursos humanos,mediana,construccion
envigado,"confección de prendas de vestir, excepto prendas de piel.",c.14.141.,administradora,pequeña,industria manufacturera
medellin,"alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes tangibles n.c.p.",n.77.773.,personal,pequeña,transporte y almacenamiento
medellin,tratamiento y revestimiento de metales; mecanizado.,c.25.259.2592,administradora,pequeña,industria manufacturera
medellin,actividades de las cooperativas financieras.,k.64.642.6424,director talento humano,mediana,intermediación financiera
medellin,alquiler y arrendamiento de otros efectos personales y enseres domésticos n.c.p.,n.77.772.7729,gerente,pequeña,actividades inmobiliarias
medellin,"actividades de contabilidad, teneduría de libros, auditoría financiera y asesoría tributaria.",m.69.692.,departamento  de gestión humano,pequeña,empresaria
medellin,"comercio, mantenimiento y reparación de motocicletas y de sus partes, piezas y accesorios.",g.45.454.,propietario,pequeña,"comercio, hoteles y restaurantes"
medellin,"curtido y recurtido de cueros; fabricación de calzado; fabricación de artículos de viaje, maletas, bolsos de mano y artículos similares, y fabricación de artículos de talabartería y guarnicionería; adobo y teñido de pieles.",c.15.,gerente,pequeña,industria manufacturera
sabaneta,"instalaciones eléctricas, de fontanería y otras instalaciones especializadas.",f.43.432.,directora de gestión humana,grande,construccion
medellin,otras actividades de servicios,s.,direccion neñez,grande,servicio
medellin,"educación de la primera infancia, preescolar y básica primaria.",p.85.851.,personal,pequeña,"\""\"""
medellin,confección de prendas de vestir.,c.14.,personal,pequeña,industria manufacturera
medellin,transporte de pasajeros.,h.49.492.4921,gerencia,pequeña,transporte y almacenamiento
medellin,"confección de prendas de vestir, excepto prendas de piel.",c.14.141.,contabilidad y tesoreria,pequeña,industria manufacturera
medellin,comercio al por menor de productos textiles en establecimientos especializados.,g.47.475.4751,administrativos,pequeña,industria manufacturera
medellin,otras actividades de servicios,s.,directora de recursos humanos,mediana,"servicios comunales, sociales y personales"
medellin,fabricación de colchones y somieres.,c.31.312.,coordinadora de talento humano,grande,industria manufacturera
medellin,construcción,f.,directora gestion humana,mediana,construccion
medellin,comercio de vehículos automotores.,g.45.451.,asistente gestion humana,pequeña,"comercio, hoteles y restaurantes"
medellin,elaboración de otros productos alimenticios.,c.10.108.,administradora,pequeña,alimentos
medellin,estudios de mercado y realización de encuestas de opinión pública.,m.73.732.,apoyo administrativo,mediana,mercadeo
medellin,"actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas).",j.62.620.6201,recursos humanos,pequeña,sistemas
medellin,actividades de consultoría de gestion,no dato,recursos humanos,pequeña,diseño
medellin,actividades de arquitectura e ingeniería; ensayos y análisis técnicos.,m.71.,gerencia,pequeña,"servicios comunales, sociales y personales"
itagui,fabricación de productos textiles.,c.13.,recurso humano,grande,industria manufacturera
medellin,recuperación de materiales.,e.38.383.,recurso humano,pequeña,industria manufacturera
medellin,fabricación de sustancias y productos químicos.,c.20.,talemto humano,pequeña,industria manufacturera
medellin,actividades de seguridad privada.,n.80.801.,coordinadora desarrollo humano,mediana,"servicios comunales, sociales y personales"
medellin,"alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes tangibles n.c.p.",n.77.773.,gestion humana,mediana,tecnologia
medellin,transporte de pasajeros.,h.49.492.4921,gerente,mediana,transporte y almacenamiento
bello,telecomunicaciones.,j.61.,coordinadora,mediana,comunicaciones
medellin,otras actividades de servicios,s.,recursos humanos,mediana,"comercio, hoteles y restaurantes"
medellin,comercio al por menor en establecimientos no especializados.,g.47.471.,gerente,mediana,"comercio, hoteles y restaurantes"
medellin,elaboración de productos alimenticios.,c.10.,propietario,pequeña,"comercio, hoteles y restaurantes"
medellin,mantenimiento y reparación especializado de maquinaria y equipo.,c.33.331.3312,administrativo,pequeña,mantenimie
medellin,actividades de consultoría informática y actividades de administración de instalaciones informáticas.,j.62.620.6202,gerente,pequeña,comunicaciones
medellin,educación,p.,contabilidad,mediana,educacion
medellin,elaboración de otros productos alimenticios.,c.10.108.,directora de talento humano,mediana,alimentos
medellin,actividades de administración empresarial; actividades de consultoría de gestión.,m.70.,representante,pequeña,consultorí
medellin,actividades de los profesionales de compra y venta de divisas.,k.66.661.6615,sub gerente,pequeña,"comercio, hoteles y restaurantes"
itagui,comercio al por mayor no especializado.,g.46.469.,asit. administrativo,pequeña,comercial
itagui,"comercio al por menor de computadores, equipos periféricos, programas de informática y equipos de telecomunicaciones en establecimientos especializados.",g.47.474.4741,asistente administrativo,mediana,"comercio, hoteles y restaurantes"
medellin,comercio al por menor de otros productos en establecimientos especializados.,g.47.477.,coordinadora de gestion humana,pequeña,"comercio, hoteles y restaurantes"
medellin,expendio a la mesa de comidas preparadas.,i.56.561.5611,administrador,pequeña,"comercio, hoteles y restaurantes"
medellin,construcción de otras obras de ingeniería civil.,f.42.429.,gerente comercial,pequeña,construccion
medellin,actividades de servicios de información.,j.63.,analista de seleccion,mediana,informatic
medellin,fabricación de muebles.,c.31.311,propietaria,pequeña,industria manufacturera
itagui,fabricación de otros productos elaborados de metal n.c.p.,c.25.259.2599,apoyo administrativo,pequeña,industria manufacturera
medellin,comercio al por mayor de materias primas agropecuarias; animales vivos.,g.46.462.,recursos humanos,pequeña,"comercio, hoteles y restaurantes"
medellin,comercio de vehículos automotores.,g.45.451.,recursos humanos,grande,"comercio, hoteles y restaurantes"
medellin,prestación de servicios a la comunidad en general.,o.84.842.,coordinador de convenios,mediana,"servicios comunales, sociales y personales"
itagui,transporte de carga por carretera.,h.49.492.4923,jefe gestión humana,mediana,transporte y almacenamiento
medellin,comercio al por mayor de productos alimenticios.,g.46.463.4631,personal,pequeña,"comercio, hoteles y restaurantes"
medellin,actividades inmobiliarias realizadas con bienes propios o arrendados.,l.68.681.,personal,mediana,"comercio, hoteles y restaurantes"
medellin,actividades de seguridad e investigación privada.,n.80.,consultor externo,grande,seguridad
medellin,elaboración de productos alimenticios.,c.10.,sicologa,pequeña,"comercio, hoteles y restaurantes"
rionegro,comercio al por mayor de artículos y enseres domésticos (incluidas prendas de vestir).,g.46.464.,gerente administrativa,pequeña,"comercio, hoteles y restaurantes"
la estrella,extracción de otros minerales no metálicos n.c.p.,b.08.089.,jefe recursos humanos,pequeña,industria manufacturera
medellin,construcción de otras obras de ingeniería civil.,f.42.429.,recursos humanos,mediana,construccion
medellin,comercio al por mayor especializado de otros productos.,g.46.466.,recursos humanos,pequeña,"comercio, hoteles y restaurantes"
medellin,comercio al por mayor de maquinaria y equipo.,g.46.465.,gerente,mediana,"comercio, hoteles y restaurantes"
medellin,comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados.,g.47.477.4771,directora de gestion humana,grande,"comercio, hoteles y restaurantes"
medellin,organización de convenciones y eventos comerciales.,n.82.823.,gerente,mediana,"servicios comunales, sociales y personales"
medellin,actividades de servicios de comidas y bebidas.,i.56.,administración gestión humana,mediana,"comercio, hoteles y restaurantes"
medellin,actividades inmobiliarias realizadas a cambio de una retribución o por contrata.,l.68.682.,directora administrativa,pequeña,actividades inmobiliarias
medellin,"fabricación de instrumentos, aparatos y materiales médicos y odontológicos (incluido mobiliario).",c.32.325.,administradora,pequeña,industria manufacturera
copacabana,"comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos.",g.46.466.4661,lider comercial,grande,electricidad/gas-suministro
envigado,fabricación de otros productos elaborados de metal y actividades de servicios relacionadas con el trabajo de metales.,c.25.259.,lider de gestión humana,mediana,industria manufacturera
medellin,actividades de atención de la salud humana.,q.86.,analista gestion humana,grande,"servicios comunales, sociales y personales"
envigado,elaboración de productos alimenticios.,c.10.,asistente gestion humana,mediana,industria manufacturera
itagui,"comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador.",g.46.464.4645,talento humano,pequeña,"comercio, hoteles y restaurantes"
itagui,"comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador.",g.46.464.4645,talento humano,mediana,"comercio, hoteles y restaurantes"
medellin,confección de prendas de vestir.,c.14.,gerente,pequeña,industria manufacturera
itagui,industrias manufactureras,c.,secretaria recepcionista,pequeña,industria manufacturera
rionegro,cultivo de flor de corte.,a.01.012.0125,coordinadora recursoso humanos,pequeña,"agricultura, caza, ganaderia, pesca y silvicultura"
medellin,"propagación de plantas (actividades de los viveros, excepto viveros forestales).",a.01.013.0130,psicologa,pequeña,construccion
medellin,obras de ingeniería civil.,f.42.,auxiliar de licitaciones,pequeña,construccion
medellin,fabricación de sustancias y productos químicos.,c.20.,personal,pequeña,industria manufacturera
medellin,"comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario.",g.46.466.4664,personal,mediana,"servicios comunales, sociales y personales"
medellin,"comercio al por menor de alimentos (víveres en general), bebidas y tabaco, en establecimientos especializados.",g.47.472.,personal,pequeña,"comercio, hoteles y restaurantes"
medellin,construcción de otras obras de ingeniería civil.,f.42.429.,personal,mediana,construccion
medellin,actividades de agencias de empleo.,n.78.781.,personal,pequeña,"servicios comunales, sociales y personales"
medellin,actividades de administración empresarial; actividades de consultoría de gestión.,m.70.,personal,pequeña,"servicios comunales, sociales y personales"
medellin,transporte terrestre; transporte por tuberías.,h.49..,personal,pequeña,"servicios comunales, sociales y personales"
medellin,otras actividades de servicios,s.,personal,mediana,pompas fun
medellin,actividades de fotográfia,m.74.742.,personal,mediana,"servicios comunales, sociales y personales"
medellin,publicidad y estudios de mercado.,m.73.,personal,pequeña,publicidad
medellin,transporte de pasajeros.,h.49.492.4921,coordinadora de gestion humana,pequeña,transporte y almacenamiento
medellin,actividades de saneamiento ambiental y otros servicios de gestión de desechos.,e.39..,coordinadora de proyectos,mediana,ambientale
medellin,prestación de servicios a la comunidad en general.,o.84.842.,representante,pequeña,"agricultura, caza, ganaderia, pesca y silvicultura"
medellin,"fabricación de muebles, colchones y somieres.",c.31.,recursos humanos,pequeña,industria manufacturera
medellin,"confección de artículos con materiales textiles, excepto prendas de vestir.",c.13.139.1392,gerente,pequeña,industria manufacturera
medellin,otras actividades especializadas para la construcción de edificios y obras de ingeniería civil.,f.43.439.,directora comercial,pequeña,construccion
itagui,industrias básicas de hierro y de acero.,c.24.241.,jefe de seleccion,mediana,industria manufacturera
maceo,comercio al por mayor especializado de otros productos.,g.46.466.,asistente de selección,grande,explotación minas/canteras
medellin,actividades especializadas para la construcción de edificios y obras de ingeniería civil.,f.43.,ingeniero geólogo,grande,construccion
